"","리콜사유","Classification","Part.Type","Specific.Part"
"1","자동차의 운행 중 외부의 환경등으로 급격한 타이어 파열시에 타이어 하우징 부식으로 인하여 승객보호 기능이 부족함","Safety","Wheels","Tires"
"2","스포크가 결합되는 부분 (니플)의 표면 금속 처리에 결함이 발생되어 스포크 (살대) 를 고정하는데 필요한 토크값이 적용 불가능하여 일반적인 주행 환경하에 휠에 장착 되어있는 스포크 (살대)가 느슨해지고 그로 인해 탈락될 수 있는 가능성이 발견되었음.","Safety","Wheels","Unknown"
"3","극단적으로 과격한 주행 환경하에 차량 전방 하단 부위의 차대에 균열이 발생할 수 있는 결함이 연구소의 주기적 시험 주행 중 발견되었음. 2016년 7월 22일 이후 생산 차량에 대해서는 해당 부위 파이프 두께를 2mm 에서 2.5 mm 로 조정하여 기존 충격 흡수율 100%에서 130%까지 늘어났으며 이번 리콜로 설치되는 보강 브라켓의 경우 동일하게 130%까지 충격흡수율이 늘어남.","Safety","Suspension","Unknown"
"4","일반적인 주행 환경하에 포크 하부의 제조상 오류 (나사홀 가공시 직경이 설계상보다 크게 가공됨) 로 앞휠을 고정하는 나사가 과도하게 움직여 이탈될 가능성이 있고 그 결과, 차량을 제어할 수 없게 될 수 있는 결함이 발견 되었음.","Safety","Wheels","Unknown"
"5","배출가스 발산방지장치(DPF)의 제작결함이 발생하여 연료소비 증가 및 엔진출력 저하 가능성","Safety","Engine","Fuel Pump"
"6","배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다.","Safety","Air Conditioning","Unknown"
"7","(다임러사로부터 리콜 공지를 받은 당시 대상 차량 모두 미선적 상태로 국내 수입되지 않아 자동차 관리법 제31조 제1항에 해당하지 아니하는 바, 수입 후 제작 결함 시정을 실시하는 것으로 주무 부처의 의견을 전달 받았습니다. 이후 대상 차량의 국내 수입이 확인되어 2018년 5월 18일, 해당 리콜의 실시를 결정하였습니다.) 가. 배기 매니폴드 체결부에서 열 하중으로 인하여 장기간 운행시 체결 볼트가 느슨해질 수 있습니다. 나. 배출가스저감장치 차압센서 전단 호스의 단열재 누락으로 인하여 차량 수명 동안 균열이 발생 할 수 있습니다.","Safety","Other","Unknown"
"8","조수석 장착된 에어백 모듈 내 압축가스 추진체 결함으로 조수석 에어백 내 에어백 가스발생장치가 부적합한 압축력으로 생산라인에 적용되어 가스발생장치 내 압축가스 추진체가 장시간 고온 다습한 환경에 노출 될 경우, 압축가스 추진체 성능이 저하되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 차내 탑승자들의 부상의 위험을 배제할 수 없습니다.","Safety","Interior Safety","Unknown"
"9","BMW N47, B47, N57 엔진이 장착된 일부차종의 EGR(배출가스재순환장치) 쿨러 결함으로 미세하게 냉각수가 새어 나와 냉각수 성분 중 물은 증발하고, 에틸렌 글리콜(부동액의 주성분)은 남아 있게 되어 배출가스에 있는 오일 성분과 그을음(Soot)이 함께 퇴적되어 EGR 쿨러 내부의 배출가스 통로 일부분을 막아 배출가스 냉각 효율을 저하시키는 현상을 발견 하였습니다. 이러한 경우 고온의 배출가스가 정상적으로 냉각 되지 않은 상태로 흡기다기관으로 전달 되어 일부 국소 부위 표면에 천공 현상이 발생 할 가능성이 있습니다. 또한, 에틸렌 클리콜, 오일, 그을음으로 퇴적된 혼합물이 고온의 배출가스에 의해 자체 온도가 상승하게 된 상태에서 흡기다기관 내부 표면에 점착하게 되면 천공이 발생 할 수 있습니다. 이러한 경우 발생된 천공에서 냉각되지 않은 고온의 배출가스 누설로 인하여 흡기 시스템 주변부의 온도가 높아져 드문 경우에 화재가 발생 할 수 있습니다.","Safety","Engine","Engine"
"10","배기가스재순환장치 냉각기 결함으로 냉각수가 누출 될 수 있고, 그 결과 배기가스재순환장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 wave fin구조의 내부, 배기가스재순환장치 냉각기의 입구 근처, 그리고 배기가스재순환장치 냉각기 끝 단에서 배기가스재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다.","Safety","Air Conditioning","Unknown"
