제작자,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜대수,리콜사유,시정대수,시정율(퍼센트)
자일대우버스 주식회사,BS106(CNG고상버스),2003-01-01,2009-12-31,2014-09-01,3455,자동차의 운행 중 외부의 환경등으로 급격한 타이어 파열시에 타이어 하우징 부식으로 인하여 승객보호 기능이 부족함,3455,100
자일대우버스 주식회사,BS090,2003-01-01,2009-12-31,2014-09-01,1811,자동차의 운행 중 외부의 환경등으로 급격한 타이어 파열시에 타이어 하우징 부식으로 인하여 승객보호 기능이 부족함,1811,100
(유)기흥모터스,DYNA LOW RIDER,2014-01-06,2014-06-19,2014-09-01,8,이그니션 스위치 브라켓의 문제로 인하여 엔진 고회전주행시 스위치가 움직여 시동이 꺼질 수 있는 가능성 발견,8,100
지엠코리아(주),캐딜락CTS,2010-12-22,2012-12-06,2014-09-01,329,"차량 키에 액세서리나 무거운 물체를 매달어 사용하는 경우, 오프로드 주행시, 차가 덜거덕 거릴 때 또는 무릅으로 키를 칠때, 키가 RUN 위치에서 다른 위치(액세서리 전원 또는 OFF)로 돌아감",268,81.46
한국지엠(주),올란도 2.0 LPG,2011-11-07,2012-01-16,2012-04-27,1323,좌석이 정확히 고정되지 않아 주행 중 고정 장치가 빠질 경우 안전운행에 지장을 줄 가능성이 발견됨,1316,99.47
한국지엠(주),올란도 2.0 디젤,2011-11-07,2012-01-16,2012-04-27,571,좌석이 정확히 고정되지 않아 주행 중 고정 장치가 빠질 경우 안전운행에 지장을 줄 가능성이 발견됨,568,99.47
포드세일즈서비스코리아(유),포커스,2011-06-13,2011-10-18,2012-04-30,295,와이퍼 모터 커넥터에 수분이 유입되어 작동이 되지 않아 운전자의 시야확보가 어려워 안전운행에 지장,293,99.32
포르쉐코리아 주식회사,박스터 S,2012-01-09,2012-04-18,2012-05-02,3,연료라인 연결장치 결함으로 주행 중 누유되어 안전운행에 지장,3,100
현대자동차(주),베라크루즈,2007-05-07,2013-06-28,2014-09-30,1754,엔진 헤드커버 가스켓 형상 부적합으로 장기간 사용 시 오일 미세 누유로 인해 간헐적 알터네이터 오염되어 작동 불량 가능성,1660,94.64
비엠더블유코리아(주),C600S,2012-03-23,2013-12-05,2014-08-20,290,"체인텐셔너 내부의 스프링을 고정하는 장치가 경우에 따라 비정상저인 마모가 진행될 수 있으며, 이러한 경우 텐셔너가 그 고유의 장력을 잃을 수 있습니다. 이는 엔진 구동용 캠축을 구동하게 하는 체인이 제 위치를 이탈하게 하여 인젠의 흡배기 밸브에 추가적인 손상을 줄수 있으며 이는 엔진의 시동성을 떨어뜨리고, 경우에따라 시동일 꺼질수 있음",280,96.55
